round,client_drift,global_weight_norm,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss
1,3.388508454082309,98.14915870859869,0.125,0.08132617527568195,0.4821505376344086,1.9581366305197438
2,2.156199856727826,98.04872360178294,0.125,0.08132617527568195,0.4821505376344086,1.8280073757581814
3,1.4584020059474279,97.95060134887645,0.125,0.08132617527568195,0.4821505376344086,1.8266036806824386
4,1.2528708935940809,97.85400304841262,0.125,0.08132617527568195,0.4821505376344086,1.8227388961340791
5,1.1731770733811004,97.75890598328948,0.125,0.08132617527568195,0.4821505376344086,1.8414399275215723
6,1.1308598984342602,97.66521170033364,0.125,0.08132617527568195,0.4821505376344086,1.8451432118877287
7,1.1132926414460746,97.57215639671483,0.125,0.08132617527568195,0.4821505376344086,1.840363990722164
8,1.1149323381733525,97.4791841922989,0.125,0.08132617527568195,0.4821505376344086,1.8622170688259987
9,1.0994760149314173,97.38784323710905,0.125,0.08132617527568195,0.4821505376344086,1.8694088910215645
10,1.127949814920216,97.29794928282412,0.125,0.08132617527568195,0.4821505376344086,1.8942192533452025
11,1.1189737172620133,97.2071349966591,0.125,0.08132617527568195,0.4821505376344086,1.8935970125916184
12,1.1421362874565821,97.11958075929287,0.125,0.08132617527568195,0.4821505376344086,1.8589275309860065
13,1.2074108069449039,97.03230395711208,0.125,0.08132617527568195,0.4821505376344086,1.7952388965442616
14,1.2579281158206372,96.94866501364143,0.13440927218344964,0.09858770046241211,0.47376344086021505,1.7499777013512068
15,1.458518755179541,96.86839570845098,0.14916832721248421,0.11037205015359475,0.45978494623655913,1.7191926007629723
16,1.5208508737329696,96.78632130960925,0.16262959399861282,0.11474545042265882,0.44967741935483874,1.6775401059017387
17,1.4679547471622636,96.70741549421825,0.1899184386682365,0.12272897824372353,0.44408602150537635,1.634253395142094
18,1.4926597831517692,96.63439000048666,0.1736997716021614,0.12246668567482254,0.44989247311827957,1.6313697889799712
19,1.5096338163737855,96.56176347925035,0.198617102395878,0.127257676939572,0.4464516129032258,1.613574989124011
20,1.6034666238461206,96.49118726373409,0.19608311240402687,0.12308031341600906,0.44344086021505374,1.5875487545997866
21,1.6074874751176431,96.42429032776666,0.20126347679481646,0.1319465244311727,0.4475268817204301,1.5625820701353013
22,1.7399879952628343,96.3535622933716,0.18923826024588625,0.1278360329917599,0.46,1.5433135586400186
23,1.5188798648366706,96.29063295300087,0.19352340692674058,0.11900833734132293,0.4475268817204301,1.5587506823898643
24,1.431048876064436,96.23188051828264,0.19941484626032857,0.11508481812255396,0.42559139784946237,1.5801287298817788
25,1.5301347736513347,96.171554610235,0.19304824072594903,0.11389287146616137,0.443010752688172,1.5594895361828547
26,1.5212706760818493,96.11288943449823,0.19530826562928683,0.12324879581124519,0.45548387096774196,1.5390184339400261
27,1.518295844132312,96.059143087256,0.19477577554098516,0.11659878159111543,0.44344086021505374,1.5509264377368395
28,1.4140825555376615,96.00559211480002,0.2204357260656002,0.14059634700726992,0.4513978494623656,1.5338788122259162
29,1.4686297851841221,95.95539312155772,0.2077233723644579,0.12657171560927644,0.4350537634408602,1.573014791242538
30,1.5229336226132781,95.9080448252236,0.19276188727031954,0.1185973467074266,0.43032258064516127,1.5681437391363164
